valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,code_postal,longitude,latitude,year,date_mutation
281500.0,74.0,3,34000,3.883519,43.618439,2023,2023-02-06
84750.0,20.0,1,34090,3.877104,43.615745,2023,2023-01-25
110000.0,45.0,2,34080,3.825337,43.613277,2023,2023-01-27
260000.0,91.0,4,34070,3.851241,43.616024,2023,2023-02-09
95000.0,37.0,2,34070,3.850137,43.596135,2023,2023-02-14
257365.0,60.0,3,34000,3.870387,43.603711,2023,2023-01-31
180000.0,46.0,2,34000,3.893998,43.612697,2023,2023-02-16
190000.0,93.0,5,34070,3.855707,43.601531,2023,2023-01-25
180000.0,47.0,3,34090,3.861535,43.625249,2023,2023-02-09
562000.0,139.0,5,34000,3.890608,43.605672,2023,2023-01-31
195000.0,48.0,2,34000,3.904554,43.602479,2023,2023-02-09
287000.0,70.0,3,34000,3.913981,43.616018,2023,2023-02-14
84000.0,18.0,1,34090,3.856655,43.631871,2023,2023-02-10
109000.0,20.0,1,34000,3.897596,43.602334,2023,2023-02-15
227000.0,68.0,3,34080,3.833728,43.63262,2023,2023-02-08
190800.0,57.0,5,34070,3.892207,43.595045,2023,2023-01-27
165170.0,52.0,3,34070,3.851251,43.615185,2023,2023-02-14
123035.0,49.0,2,34080,3.82818,43.615383,2023,2023-02-13
137750.0,56.0,2,34070,3.85677,43.586144,2023,2023-02-10
205350.0,52.0,2,34000,3.863465,43.610195,2023,2023-02-13
503900.0,92.0,3,34000,3.882879,43.603735,2023,2023-02-14
