id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-439333,2023-01-24,000001,Vente,130000,9,,RUE DE LA PALISSADE,4095,34000,34172,Montpellier,34,,,34172000HW0676,,,47,43.75,,,,,,,,,1,2,Appartement,44,2,,,,,,3.868676,43.607124
2023-439333,2023-01-24,000001,Vente,130000,9,,RUE DE LA PALISSADE,4095,34000,34172,Montpellier,34,,,34172000HW0676,,,45,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.868676,43.607124
2023-439339,2023-01-13,000001,Vente,263100,,,RUE MICHEL CHASLES,3741,34000,34172,Montpellier,34,,,34172000RT0006,,,3106,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.907699,43.613384
2023-439339,2023-01-13,000001,Vente,263100,810,,RUE DE LA VIEILLE POSTE,5815,34000,34172,Montpellier,34,,,34172000RT0006,,,3087,60.38,,,,,,,,,1,2,Appartement,60,3,,,,,,3.907699,43.613384
2023-439340,2023-01-19,000001,Vente,185000,44,,RUE RAOUL DUFY,8301,34000,34172,Montpellier,34,,,34172000SA0355,,,1043,48.83,1214,,,,,,,,2,3,Dépendance,,0,,,,,,3.904554,43.602479
2023-439340,2023-01-19,000001,Vente,185000,44,,RUE RAOUL DUFY,8301,34000,34172,Montpellier,34,,,34172000SA0355,,,1043,48.83,1214,,,,,,,,2,2,Appartement,48,2,,,,,,3.904554,43.602479
2023-439342,2023-02-01,000001,Vente,117000,110,,RUE FABRI DE PEIRESC,2121,34080,34172,Montpellier,34,,,34172000MS0327,,,5148,,5170,63.05,,,,,,,2,3,Dépendance,,0,,,,,,,
2023-439342,2023-02-01,000001,Vente,117000,110,,RUE FABRI DE PEIRESC,2121,34080,34172,Montpellier,34,,,34172000MS0327,,,5148,,5170,63.05,,,,,,,2,2,Appartement,63,3,,,,,,,
2023-439344,2023-01-27,000001,Vente,79150,121,B,AV DE PALAVAS,4085,34070,34172,Montpellier,34,,,34172000DR0558,,,2259,23.08,,,,,,,,,1,2,Appartement,23,1,,,,,,3.891022,43.590893
2023-439346,2023-01-19,000001,Vente,143000,200,,RUE MICHEL ANGE,3743,34070,34172,Montpellier,34,,,34172000KT0004,,,46,43.34,56,,,,,,,,2,2,Appartement,44,2,,,,,,3.844996,43.615645
2023-439346,2023-01-19,000001,Vente,143000,200,,RUE MICHEL ANGE,3743,34070,34172,Montpellier,34,,,34172000KT0004,,,46,43.34,56,,,,,,,,2,3,Dépendance,,0,,,,,,3.844996,43.615645
